,precision,recall,f1-score,support
Beauty,0.6739130434782609,0.62,0.6458333333333334,100.0
Electronics,0.7007874015748031,0.89,0.7841409691629956,100.0
Fashion,0.9183673469387755,0.9,0.9090909090909091,100.0
Grocery,0.7663551401869159,0.82,0.7922705314009661,100.0
Home,0.6973684210526315,0.53,0.6022727272727273,100.0
accuracy,0.752,0.752,0.752,0.752
macro avg,0.7513582706462774,0.752,0.7467216940521864,500.0
weighted avg,0.7513582706462774,0.752,0.7467216940521864,500.0
